Participant ID,Shape,Color,Reaction Time (ms),Error
4,minus,red,432,0
4,circle,yellow,,0
4,triangle,yellow,,0
4,X,red,364,0
4,X,yellow,,0
4,arrow,green,,0
4,triangle,blue,,0
4,triangle,yellow,,0
4,triangle,red,360,0
4,square,orange,,0
4,triangle,blue,,0
4,circle,red,387,0
4,circle,orange,261,1
4,triangle,red,364,0
4,X,red,381,0
4,square,green,,0
4,minus,green,,0
4,triangle,green,,0
4,circle,red,330,0
4,triangle,red,342,0
4,arrow,red,363,0
4,minus,blue,,0
4,triangle,red,506,0
4,arrow,red,353,0
4,square,red,389,0
4,minus,red,365,0
4,square,red,345,0
4,minus,orange,,0
4,arrow,green,,0
4,circle,orange,,0
4,arrow,red,354,0
4,X,red,387,0
4,minus,red,372,0
4,arrow,green,,0
4,triangle,yellow,,0
4,square,red,336,0
4,square,orange,,0
4,circle,red,327,0
4,arrow,yellow,,0
4,square,red,355,0
