Participant ID,Shape,Color,Reaction Time (ms),Error
5,circle,red,295,0
5,minus,red,369,0
5,X,yellow,,0
5,minus,red,366,0
5,minus,green,,0
5,arrow,orange,,0
5,X,blue,,0
5,triangle,green,,0
5,arrow,red,367,0
5,triangle,yellow,,0
5,minus,yellow,,0
5,circle,orange,,0
5,circle,blue,,0
5,arrow,yellow,,0
5,minus,orange,,0
5,circle,red,293,0
5,X,red,340,0
5,minus,red,337,0
5,arrow,red,306,0
5,triangle,blue,,0
5,arrow,red,334,0
5,triangle,green,,0
5,minus,blue,,0
5,circle,yellow,,0
5,arrow,red,371,0
5,arrow,red,309,0
5,triangle,orange,,0
5,X,orange,,0
5,square,red,313,0
5,arrow,green,,0
5,triangle,green,,0
5,X,red,343,0
5,triangle,red,361,0
5,circle,red,290,0
5,circle,orange,,0
5,triangle,red,351,0
5,triangle,red,324,0
5,arrow,red,391,0
5,square,red,289,0
5,triangle,red,317,0
