Participant ID,Shape,Color,Reaction Time (ms),Error
2,minus,blue,,0
2,square,red,733,0
2,minus,red,651,0
2,square,red,716,0
2,circle,blue,,0
2,arrow,orange,,0
2,arrow,orange,,0
2,minus,red,427,0
2,minus,green,,0
2,minus,red,407,0
2,X,red,814,0
2,arrow,orange,,0
2,square,red,764,0
2,square,red,755,0
2,minus,red,576,0
2,triangle,blue,,0
2,triangle,red,726,0
2,arrow,yellow,,0
2,arrow,red,701,0
2,triangle,red,812,0
2,circle,green,,0
2,X,orange,,0
2,circle,red,646,0
2,arrow,yellow,,0
2,circle,red,839,0
2,arrow,blue,,0
2,circle,red,621,0
2,arrow,yellow,,0
2,square,yellow,,0
2,square,red,873,0
2,X,red,756,0
2,circle,yellow,,0
2,arrow,red,801,0
2,X,red,625,0
2,triangle,blue,,0
2,triangle,red,706,0
2,triangle,yellow,,0
2,square,yellow,,0
2,arrow,blue,,0
2,triangle,orange,,0
