Participant ID,Shape,Color,Reaction Time (ms),Error
6,triangle,yellow,548,0
6,triangle,green,310,0
6,triangle,yellow,331,0
6,arrow,blue,,0
6,minus,red,,0
6,minus,orange,,0
6,triangle,orange,393,0
6,triangle,yellow,355,0
6,triangle,yellow,334,0
6,circle,red,,0
6,circle,yellow,,0
6,triangle,blue,808,0
6,square,red,,0
6,triangle,orange,334,0
6,triangle,orange,377,0
6,arrow,orange,,0
6,triangle,yellow,362,0
6,triangle,blue,265,0
6,X,yellow,,0
6,square,blue,,0
6,square,green,,0
6,triangle,yellow,378,0
6,minus,blue,,0
6,minus,green,,0
6,X,blue,,0
6,square,green,,0
6,arrow,red,,0
6,minus,green,,0
6,arrow,green,,0
6,triangle,red,346,0
6,triangle,green,306,0
6,triangle,blue,296,0
6,arrow,orange,,0
6,triangle,red,336,0
6,triangle,blue,295,0
6,triangle,blue,300,0
6,triangle,yellow,313,0
6,minus,orange,,0
6,X,yellow,,0
6,triangle,orange,339,0
