Participant ID,Shape,Color,Reaction Time (ms),Error
7,square,red,369,0
7,X,green,,0
7,circle,red,346,0
7,triangle,yellow,,0
7,X,blue,,0
7,arrow,red,393,0
7,triangle,red,344,0
7,circle,green,,0
7,arrow,red,349,0
7,arrow,red,263,0
7,minus,orange,,0
7,arrow,orange,,0
7,X,green,,0
7,minus,orange,,0
7,arrow,red,426,0
7,triangle,red,336,0
7,X,blue,,0
7,square,green,,0
7,square,green,,0
7,circle,yellow,,0
7,circle,blue,,0
7,minus,orange,,0
7,triangle,orange,,0
7,minus,orange,,0
7,arrow,red,340,0
7,X,red,356,0
7,minus,yellow,,0
7,triangle,green,,0
7,minus,red,369,0
7,X,red,289,0
7,arrow,red,304,0
7,circle,red,296,0
7,circle,red,266,0
7,arrow,red,276,0
7,minus,red,285,0
7,square,green,,0
7,square,red,339,0
7,triangle,red,294,0
7,square,red,289,0
7,circle,green,,0
