Participant ID,Shape,Color,Reaction Time (ms),Error
3,triangle,yellow,,0
3,X,red,454,0
3,arrow,red,394,0
3,arrow,red,375,0
3,triangle,red,348,0
3,triangle,green,,0
3,arrow,red,554,0
3,circle,yellow,,0
3,arrow,green,,0
3,triangle,red,352,0
3,circle,blue,,0
3,circle,blue,,0
3,triangle,red,343,0
3,arrow,yellow,,0
3,X,red,417,0
3,triangle,orange,,0
3,arrow,yellow,,0
3,circle,red,375,0
3,circle,yellow,,0
3,X,red,356,0
3,circle,blue,,0
3,X,red,342,0
3,circle,orange,,0
3,X,yellow,,0
3,triangle,yellow,,0
3,triangle,blue,,0
3,X,orange,,0
3,minus,red,355,0
3,arrow,green,,0
3,minus,red,365,0
3,minus,red,423,0
3,circle,red,422,0
3,circle,red,351,0
3,X,red,388,0
3,minus,orange,,0
3,triangle,orange,,0
3,arrow,green,,0
3,arrow,red,409,0
3,X,red,394,0
3,arrow,red,343,0
