Participant ID,Shape,Color,Reaction Time (ms),Error
1,square,blue,436,0
1,triangle,green,,0
1,X,yellow,,0
1,square,blue,390,0
1,minus,blue,464,0
1,X,red,,0
1,square,blue,303,0
1,arrow,green,,0
1,triangle,orange,,0
1,triangle,yellow,,0
1,minus,orange,,0
1,circle,blue,377,0
1,triangle,blue,396,0
1,circle,blue,549,0
1,arrow,yellow,,0
1,circle,blue,349,0
1,X,blue,516,0
1,minus,blue,380,0
1,X,blue,348,0
1,triangle,blue,331,0
1,square,orange,,0
1,arrow,blue,379,0
1,minus,green,,0
1,arrow,red,,0
1,X,yellow,,0
1,minus,yellow,,0
1,minus,blue,466,0
1,circle,blue,408,0
1,minus,blue,355,0
1,square,yellow,,0
1,circle,blue,341,0
1,arrow,blue,384,0
1,triangle,orange,,0
1,minus,yellow,,0
1,arrow,blue,353,0
1,arrow,orange,,0
1,arrow,red,,0
1,circle,red,,0
1,arrow,blue,403,0
1,arrow,green,,0
