Participant ID,Shape,Color,Reaction Time (ms),Error
8,square,red,494,0
8,circle,green,,0
8,X,green,,0
8,circle,blue,,0
8,arrow,red,409,0
8,square,red,816,0
8,X,red,933,0
8,circle,red,590,0
8,minus,orange,,0
8,square,red,775,0
8,X,red,861,0
8,X,red,692,0
8,X,red,802,0
8,arrow,blue,,0
8,triangle,red,737,0
8,triangle,green,,0
8,X,red,404,0
8,circle,orange,,0
8,triangle,orange,,0
8,arrow,orange,,0
8,minus,orange,,0
8,X,red,1141,0
8,arrow,red,850,0
8,circle,green,,0
8,circle,blue,,0
8,triangle,orange,,0
8,arrow,red,1079,0
8,triangle,orange,,0
8,X,red,1142,0
8,arrow,blue,,0
8,square,orange,,0
8,arrow,red,964,0
8,arrow,green,,0
8,X,yellow,,0
8,X,red,1124,0
8,arrow,orange,,0
8,circle,red,879,0
8,triangle,yellow,,0
8,square,red,787,0
8,X,red,742,0
