Participant ID,Shape,Color,Reaction Time (ms),Error
3,square,orange,600,0
3,minus,blue,,0
3,circle,yellow,,0
3,minus,green,,0
3,square,yellow,429,0
3,square,blue,473,0
3,triangle,yellow,,0
3,circle,green,,0
3,square,blue,338,0
3,square,yellow,563,0
3,square,red,297,0
3,circle,green,,0
3,circle,yellow,,0
3,square,green,339,0
3,X,yellow,,0
3,minus,blue,,0
3,arrow,blue,,0
3,square,green,357,0
3,circle,blue,,0
3,circle,yellow,,0
3,triangle,orange,,0
3,square,red,341,0
3,square,blue,467,0
3,square,blue,310,0
3,minus,blue,,0
3,square,green,459,0
3,square,blue,353,0
3,circle,orange,,0
3,square,orange,352,0
3,square,yellow,327,0
3,circle,red,,0
3,minus,red,,0
3,circle,orange,,0
3,triangle,red,,0
3,square,red,431,0
3,square,red,343,0
3,square,green,310,0
3,square,blue,308,0
3,square,red,307,0
3,minus,green,,0
