Participant ID,Shape,Color,Reaction Time (ms),Error
4,circle,red,,0
4,X,yellow,395,0
4,X,red,318,0
4,circle,yellow,,0
4,minus,green,,0
4,arrow,blue,,0
4,minus,blue,,0
4,X,yellow,347,0
4,triangle,green,,0
4,circle,green,,0
4,minus,blue,,0
4,arrow,orange,,0
4,X,red,615,0
4,X,yellow,355,0
4,X,orange,285,0
4,triangle,red,,0
4,circle,green,,0
4,X,yellow,311,0
4,X,orange,285,0
4,arrow,blue,,0
4,X,green,376,0
4,X,yellow,311,0
4,X,yellow,304,0
4,X,orange,295,0
4,arrow,green,,0
4,X,red,324,0
4,triangle,yellow,,0
4,circle,orange,,0
4,circle,orange,,0
4,minus,blue,,0
4,X,red,419,0
4,arrow,red,,0
4,circle,green,,0
4,X,yellow,381,0
4,X,yellow,324,0
4,minus,red,,0
4,X,blue,322,0
4,X,blue,301,0
4,X,yellow,358,0
4,X,red,332,0
