Participant ID,Shape,Color,Reaction Time (ms),Error
9,X,yellow,611,0
9,X,yellow,1088,0
9,minus,blue,,0
9,X,blue,,1
9,X,orange,565,0
9,minus,orange,,0
9,triangle,red,,0
9,X,blue,562,0
9,X,blue,845,0
9,X,orange,612,0
9,minus,orange,,0
9,X,yellow,587,0
9,X,green,591,0
9,minus,green,,0
9,minus,yellow,,0
9,X,green,680,0
9,X,yellow,567,0
9,minus,red,,0
9,minus,red,,0
9,arrow,yellow,,0
9,minus,blue,,0
9,X,blue,674,0
9,X,blue,569,0
9,square,yellow,,0
9,arrow,orange,,0
9,triangle,yellow,,0
9,square,red,,0
9,arrow,blue,,0
9,X,blue,671,0
9,X,yellow,643,0
9,X,blue,708,0
9,X,blue,595,0
9,triangle,green,,0
9,minus,green,,0
9,arrow,orange,,0
9,arrow,blue,,0
9,minus,yellow,,0
9,X,green,794,0
9,X,orange,697,0
9,X,orange,757,0
