Participant ID,Shape,Color,Reaction Time (ms),Error
2,arrow,orange,632,0
2,triangle,yellow,,0
2,circle,green,,0
2,arrow,red,605,0
2,X,blue,,0
2,circle,yellow,,0
2,triangle,orange,,0
2,minus,blue,,0
2,circle,orange,,0
2,arrow,green,741,0
2,arrow,red,833,0
2,arrow,yellow,538,0
2,circle,red,,0
2,triangle,red,,0
2,arrow,yellow,694,0
2,arrow,red,635,0
2,minus,red,,0
2,circle,blue,,0
2,arrow,yellow,476,0
2,arrow,blue,454,0
2,arrow,green,430,0
2,triangle,green,,0
2,arrow,yellow,456,0
2,arrow,blue,648,0
2,arrow,yellow,816,0
2,X,orange,,0
2,arrow,blue,671,0
2,arrow,green,755,0
2,arrow,red,817,0
2,square,red,,0
2,triangle,yellow,,0
2,square,blue,,0
2,arrow,green,488,0
2,circle,green,,0
2,arrow,yellow,906,0
2,arrow,yellow,905,0
2,circle,red,,0
2,square,green,,0
2,arrow,yellow,946,0
2,square,orange,,0
