Participant ID,Shape,Color,Reaction Time (ms),Error
5,triangle,orange,,0
5,circle,yellow,303,0
5,triangle,yellow,,0
5,minus,orange,,0
5,circle,yellow,310,0
5,triangle,yellow,,0
5,minus,blue,,0
5,circle,red,296,0
5,arrow,yellow,,0
5,circle,blue,294,0
5,circle,green,357,0
5,circle,yellow,317,0
5,circle,green,302,0
5,X,blue,,0
5,triangle,red,,0
5,circle,blue,343,0
5,minus,green,,0
5,square,red,,0
5,circle,yellow,322,0
5,square,red,,0
5,square,red,,0
5,arrow,green,,0
5,circle,blue,296,0
5,circle,orange,328,0
5,circle,green,281,0
5,circle,orange,299,0
5,arrow,orange,,0
5,square,yellow,,0
5,circle,green,377,0
5,circle,blue,300,0
5,minus,orange,,0
5,minus,green,,0
5,circle,green,318,0
5,triangle,red,,0
5,circle,red,346,0
5,circle,red,294,0
5,minus,green,,0
5,X,green,,0
5,circle,red,374,0
5,circle,blue,356,0
