Participant ID,Shape,Color,Reaction Time (ms),Error
8,triangle,yellow,,0
8,square,orange,,0
8,X,blue,984,0
8,circle,orange,,0
8,X,orange,959,0
8,X,red,839,0
8,X,red,859,0
8,X,orange,960,0
8,X,yellow,972,0
8,X,green,915,0
8,minus,blue,,0
8,X,blue,835,0
8,X,green,770,0
8,circle,green,,0
8,X,blue,1083,0
8,circle,blue,,0
8,X,orange,1005,0
8,triangle,green,,0
8,arrow,orange,,0
8,X,orange,1078,0
8,triangle,red,,0
8,X,blue,382,0
8,X,red,736,0
8,triangle,green,,0
8,arrow,green,,0
8,X,orange,1042,0
8,X,blue,1014,0
8,arrow,green,,0
8,arrow,yellow,,0
8,X,orange,929,0
8,X,blue,1165,0
8,minus,green,,0
8,X,blue,1068,0
8,triangle,blue,,0
8,square,green,,0
8,triangle,red,,0
8,arrow,red,,0
8,arrow,red,,0
8,circle,green,,0
8,X,blue,1071,0
