Participant ID,Shape,Color,Reaction Time (ms),Error
1,triangle,green,584,0
1,arrow,blue,,0
1,triangle,red,371,0
1,triangle,green,392,0
1,square,blue,,0
1,circle,yellow,,0
1,circle,orange,,0
1,X,red,,0
1,X,blue,,0
1,triangle,red,381,0
1,triangle,blue,340,0
1,triangle,orange,357,0
1,triangle,blue,345,0
1,arrow,yellow,,0
1,triangle,orange,413,0
1,minus,red,,0
1,triangle,red,325,0
1,arrow,orange,,0
1,triangle,orange,383,0
1,triangle,yellow,467,0
1,arrow,orange,,0
1,circle,yellow,,0
1,minus,yellow,,0
1,triangle,orange,430,0
1,circle,yellow,,0
1,arrow,green,,0
1,triangle,blue,387,0
1,triangle,yellow,414,0
1,arrow,yellow,,0
1,minus,green,,0
1,square,yellow,,0
1,triangle,red,332,0
1,triangle,red,322,0
1,square,green,,0
1,triangle,green,326,0
1,triangle,orange,436,0
1,arrow,blue,,0
1,circle,orange,,0
1,triangle,blue,333,0
1,triangle,blue,612,0
