Participant ID,Shape,Color,Reaction Time (ms),Error
10,X,orange,418,0
10,circle,yellow,,0
10,X,yellow,376,0
10,X,green,425,0
10,minus,blue,,0
10,X,yellow,407,0
10,circle,red,,0
10,triangle,yellow,,0
10,X,blue,623,0
10,triangle,green,,0
10,X,green,383,0
10,minus,blue,,0
10,square,red,,0
10,X,red,379,0
10,triangle,orange,,0
10,square,green,,0
10,X,red,369,0
10,X,blue,382,0
10,X,yellow,307,0
10,X,orange,285,0
10,triangle,blue,,0
10,X,blue,376,0
10,arrow,blue,,0
10,X,blue,404,0
10,X,red,319,0
10,X,green,349,0
10,triangle,red,,0
10,triangle,red,,0
10,X,red,338,0
10,arrow,orange,,0
10,triangle,blue,,0
10,circle,red,,0
10,X,green,393,0
10,minus,blue,,0
10,X,red,333,0
10,square,green,,0
10,X,yellow,341,0
10,square,red,,0
10,minus,yellow,,0
10,X,blue,348,0
